,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
32,양파,245,양파(1kg),0,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),2028.0,2주일전 (01/16),2265.0,1개월전,2135.0,1년전,2430.0,일평년,"2,407",2025-01-30,,,,
33,파,246,대파(1kg),0,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),3230.0,2주일전 (01/16),3600.0,1개월전,3843.0,1년전,3784.0,일평년,"3,301",2025-01-30,,,,
34,파,246,대파(1kg),0,중품,5,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),2360.0,2주일전 (01/16),2460.0,1개월전,2597.0,1년전,3690.0,일평년,"2,683",2025-01-30,,,,
35,파,246,쪽파(1kg),2,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),11585.0,2주일전 (01/16),11080.0,1개월전,11704.0,1년전,11140.0,일평년,"10,077",2025-01-30,,,,
36,생강,247,국산(1kg),0,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),12775.0,2주일전 (01/16),11975.0,1개월전,11544.0,1년전,15634.0,일평년,"12,092",2025-01-30,,,,
37,고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),32125.0,2주일전 (01/16),30125.0,1개월전,31583.0,1년전,34827.0,일평년,"31,969",2025-01-30,,,,
38,고춧가루,248,중국(1kg),1,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),11650.0,2주일전 (01/16),11650.0,1개월전,13450.0,1년전,13635.0,일평년,"12,363",2025-01-30,,,,
39,미나리,252,미나리(100g),0,상품,4,100g,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),2008.0,2주일전 (01/16),1813.0,1개월전,1765.0,1년전,1871.0,일평년,"1,263",2025-01-30,,,,
40,깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),2743.0,2주일전 (01/16),2605.0,1개월전,2944.0,1년전,3117.0,일평년,"2,787",2025-01-30,,,,
41,피망,255,청(100g),0,상품,4,100g,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),1337.0,2주일전 (01/16),1197.0,1개월전,1401.0,1년전,2128.0,일평년,"1,792",2025-01-30,,,,
42,파프리카,256,파프리카(200g),0,상품,4,200g,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),1933.0,2주일전 (01/16),2075.0,1개월전,2100.0,1년전,2389.0,일평년,"2,145",2025-01-30,,,,
43,파프리카,256,파프리카(200g),0,중품,5,200g,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),1660.0,2주일전 (01/16),1335.0,1개월전,1700.0,1년전,1561.0,일평년,"1,538",2025-01-30,,,,
44,멜론,257,멜론(1개),0,상품,4,1개,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),15333.0,2주일전 (01/16),15333.0,1개월전,15681.0,1년전,17848.0,일평년,"13,334",2025-01-30,,,,
45,깐마늘(국산),258,깐마늘(국산)(1kg),1,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),8738.0,2주일전 (01/16),8228.0,1개월전,9650.0,1년전,10020.0,일평년,"10,594",2025-01-30,,,,
46,깐마늘(국산),258,깐마늘(국산)(1kg),1,중품,5,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),7000.0,2주일전 (01/16),7000.0,1개월전,7843.0,1년전,7590.0,일평년,"7,961",2025-01-30,,,,
47,알배기배추,279,알배기배추(1포기),0,상품,4,1포기,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),3310.0,2주일전 (01/16),2855.0,1개월전,2951.0,1년전,2762.0,일평년,"2,762",2025-01-30,,,,
48,알배기배추,279,알배기배추(1포기),0,중품,5,1포기,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),1860.0,2주일전 (01/16),1860.0,1개월전,1742.0,1년전,1880.0,일평년,"1,880",2025-01-30,,,,
49,브로콜리,280,브로콜리(국산)(1개),0,상품,4,1개,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),2548.0,2주일전 (01/16),2223.0,1개월전,2578.0,1년전,1942.0,일평년,"1,942",2025-01-30,,,,
50,방울토마토,422,방울토마토(1kg),1,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),13900.0,2주일전 (01/16),13900.0,1개월전,13449.0,1년전,12340.0,일평년,"10,483",2025-01-30,,,,
51,방울토마토,422,대추방울토마토(1kg),2,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),8740.0,2주일전 (01/16),7935.0,1개월전,11333.0,1년전,11235.0,일평년,"8,817",2025-01-30,,,,
